source_id,document_name,source_type,fiscal_year,agency,original_url,accessible_archived_url,granularity_available,notes
S001,FY2024 HHS Budget in Brief,Budget in Brief,2024,HHS,https://www.hhs.gov/sites/default/files/fy-2024-budget-in-brief.pdf,https://us.pagefreezer.com/en-US/wa/browse/0a7f82bb-be6e-448a-ae11-373d22c37842?url=https:%2F%2Fwww.hhs.gov%2Fabout%2Fbudget%2Ffy2024%2Findex.html&timestamp=2025-02-24T07:03:59Z,Aggregate,Initial skinny budget request
S002,FY2024 CDC Congressional Justification,Congressional Justification,2024,CDC,https://www.cdc.gov/budget/documents/fy2024/FY-2024-CDC-CJ.pdf,https://stacks.cdc.gov/view/cdc/135997/cdc_135997_DS1.pdf,Program-level,Full program breakdown; all-purpose table p.30
S003,FY2024 ATSDR Congressional Justification,Congressional Justification,2024,ATSDR,https://www.cdc.gov/budget/documents/fy2024/fy-2024-atsdr-congressional-justification.pdf,https://stacks.cdc.gov/view/cdc/135996/cdc_135996_DS1.pdf,Program-level,ATSDR budget often shown within CDC totals
S004,FY2024 Senate LHHS Appropriations Report,Senate Approp Committee,2024,HHS,https://www.appropriations.senate.gov,,Program-level,Senate committee markup; program detail in report language
S005,FY2024 Consolidated Appropriations Act (P.L. 118-47),Public Law,2024,HHS,https://www.congress.gov/118/plaws/publ47/PLAW-118publ47.pdf,,Aggregate,"Full-year enacted law. Program-level appropriations only (no PPHF, no sub-programs). PPHF flows separately. CDC section pp.653-656 of 138 Stat."
S006,FY2024 CDC Operating Plan,Operational Plan,2024,CDC,https://www.cdc.gov/budget/documents/fy2024/FY-2024-CDC-Operating-Plan.pdf,,Program-level + non-adds,Post-enactment operating plan with non-add detail. Units: thousands.
S007,FY2025 HHS Budget in Brief,Budget in Brief,2025,HHS,https://www.hhs.gov/sites/default/files/fy-2025-budget-in-brief.pdf,,Aggregate,FY2025 Budget in Brief. Program-level aggregate data. Major programs shown at rounded $M. Sub-program detail not available.
S008,FY2025 CDC Congressional Justification,Congressional Justification,2025,CDC,https://www.cdc.gov/budget/documents/fy2025/FY-2025-CDC-congressional-justification.pdf,https://stacks.cdc.gov/view/cdc/177367,Program-level,Full program breakdown; all-purpose table p.30
S009,FY2025 Continuing Resolution,Continuing Resolution,2025,HHS,https://www.congress.gov,,Aggregate only,Full-year CR — no program-level operating plan published. Funded at FY2024 enacted rate. URL points to Congress.gov search; no direct permanent PDF available for the CR text.
S010,FY2026 HHS Budget in Brief,Budget in Brief,2026,HHS,https://www.hhs.gov/sites/default/files/fy-2026-budget-in-brief.pdf,,Aggregate,"Major HHS reorganization proposed. CDC programs spread across CDC, AHA, and Office of Strategy chapters."
S011,FY2026 CDC Congressional Justification,Congressional Justification,2026,CDC,https://www.cdc.gov/budget/documents/fy2026/fy-2026-cdc-cj.pdf,,Program-level (restructured),Program structure changed significantly. Many programs consolidated or eliminated. Crosswalk required.
S012,FY2026 House LHHS Report,House Approp Committee,2026,HHS,https://www.congress.gov/119/crpt/hrpt271/CRPT-119hrpt271.pdf,,Program-level + sub-program,SUPERSEDED by S018. Retained for reference only. S018 is the correct entry for FY2026 House LHHS Report (H.Rept. 119-271).
S013,FY2026 Senate LHHS Report,Senate Approp Committee,2026,HHS,https://www.congress.gov/119/crpt/srpt55/CRPT-119srpt55.pdf,,Program-level + sub-program,Senate FY2026 LHHS Appropriations Report (S.Rept. 119-55). CDC section pp.68-104. Sub-program tables included. Units: full dollars.
S014,FY2026 Consolidated Appropriations Act (P.L. 119-75),Public Law,2026,HHS,https://www.congress.gov/bill/119th-congress/house-bill/7148/text,,Program-level,"Full-year enacted law. Program-level appropriations only (no PPHF, no sub-programs). PPHF flows separately. CDC section pp.221-227 of bill text."
S015,FY2026 LHHS Joint Explanatory Statement (P.L. 119-75),Joint Explanatory Statement,2026,HHS,https://www.congress.gov/event/119th-congress/house-event/118889,,Sub-program level,"SUPERSEDED by S021 for JES content. S015 URL points to a Congress.gov event page, not the JES PDF. S021 has the correct direct PDF link. Retained for reference only."
